GO:0003008,GO:0005576,GO:0005681,GO:0005737,GO:0005829,GO:0006109,GO:0009887,GO:0016337,GO:0030099,GO:0031224,GO:0043234,GO:0044428,GO:0044459,GO:0048523,GO:1902532,degree,bridgeness
0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,43,0.001648999983445
1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,197,0.062176000326872
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,9.99999997475243E-07
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,9,7.10000022081658E-05
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,9.99999997475243E-07
0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,25,0.000105999999505
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1.99999999495049E-06
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,9.99999997475243E-07
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,87,0.010079000145197
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,0.064682997763157
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,73,0.000768999976572
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,55,0.002249999903142
0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,25,0.000709999992978
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,0.499904990196228
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,10,0.004825999960303
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34,0.437258988618851
0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,15,0.000260000000708
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.99999998990097E-06
0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,103,0.002628999995068
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,21,0.00220900005661
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,1.99999999495049E-06
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,109,0.018156999722123
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7.00000009601354E-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.99999997475243E-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,13,6.00000021222513E-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.49999996210681E-05
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,17,7.00000009601354E-06
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0.000284999987343
0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,334,0.197999000549316
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.291918992996216
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,87,0.020362000912428
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3.70000016118865E-05
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,22,0.001300000003539
